,"g: 13.4, ext_rate: 2.0","g: 9.4, ext_rate: 2.0","g: 6.3, ext_rate: 2.0"
0,-0.01618106903336523,-0.019183900144923095,-0.011841601454927264
1,0.01373364151913113,0.003696631375300816,0.007093453166767325
2,0.01764112987210335,0.007503098676348035,0.019764860853681294
3,0.028246853669729302,0.016334182068554304,0.034177468978434544
4,0.02649729283717774,0.016431706799890648,0.030939579817265882
5,0.01872769923718184,0.00961208354747801,0.018699778298886745
6,0.006895398436294476,-0.00018304356928403452,0.003963552323047754
7,-0.003007509064875088,-0.006399295254894621,-0.006665461380712365
8,-0.008517485665058477,-0.008887841352300968,-0.013458330733627247
9,-0.009022906400632157,-0.007845699861338394,-0.016119291907870096
10,-0.006636807323365608,-0.00571245265017198,-0.013604234044691342
11,-0.005618974892105464,-0.0030535492441189113,-0.009592709118937061
12,-0.006771066801540314,-0.0013134537046938662,-0.007344875042093801
13,-0.007662796143949112,-0.0010359280820583531,-0.005664807467719895
14,-0.007890428217448385,-0.0008128801161275144,-0.004536206261148673
15,-0.007348325817555827,-0.0018001117478936683,-0.0048152466579831485
16,-0.006799408605973854,-0.004602090872262888,-0.007841314274831177
17,-0.006919285873934542,-0.007386982768831608,-0.01067699242754041
18,-0.0075049480585375064,-0.007662672804455892,-0.012102421068973874
19,-0.008000623920397196,-0.005571787168281328,-0.012061992344097244
20,-0.007506342410741411,-0.004840165994459014,-0.009166134096665795
21,-0.005806471216039504,-0.004342168589686716,-0.006684258832885885
22,-0.004653445321849393,-0.002240974395260158,-0.008382754761645949
23,-0.005362140438719597,-2.5285037063832624e-05,-0.011113438235006736
24,-0.007237923953932841,0.0005589444441323449,-0.009718525513154731
25,-0.007780405362693196,-0.002049858133910806,-0.006343186733746149
26,-0.006905546049620672,-0.004018053591428012,-0.002339964934281775
27,-0.005250334812756463,-0.0026328055558189,0.00037383954835447505
28,-0.0018181864288495115,-0.0005182480917887191,0.0010054512802945266
29,0.0007613995441469103,-0.000689782178331547,0.001095703070237106
30,0.0011129442554424548,-0.001637172951815386,0.0003591077038920054
31,0.0011410348167799893,-0.0015132039040937826,0.000514362331918065
32,-0.00016275491440848562,-0.00042483840858823223,0.0006932687500236975
33,-0.0014565491497137031,5.28893564484029e-06,-0.0006427040206685212
34,-0.0019079702711837772,0.0010992333548842765,-0.00264378478713886
35,-0.00225128850665015,0.002100862826415207,-0.0010703293641827342
36,-0.0025439847681281522,0.001144514020587273,0.003292929129280265
37,-0.0028954451107520186,-0.0007127752600060235,0.007154866324237161
